transaction_id,region,category,amount_idr,timestamp,channel,age_group
TXN026336,Surabaya,F&B,156500,2024-03-17 07:41:02,online,35-44
TXN028103,Surabaya,Electronics,12313500,2024-07-08 20:17:31,online,25-34
TXN017524,Yogyakarta,Grocery,227500,2023-01-31 13:30:10,offline,45+
TXN024713,Surabaya,Fashion,1471000,2023-04-06 11:11:23,online,35-44
TXN040486,Medan,Fashion,2118000,2024-01-05 12:54:50,online,35-44
TXN003851,Jakarta,Fashion,1200500,2023-08-09 21:32:14,online,35-44
TXN040041,Medan,Healthcare,697000,2023-10-10 06:55:00,online,45+
TXN015268,Yogyakarta,F&B,58500,2024-08-22 19:36:23,offline,18-24
TXN049147,Bali,Home & Living,512000,2024-03-17 13:33:05,online,18-24
TXN030002,Surabaya,Grocery,302000,2024-09-28 03:42:17,offline,18-24
TXN045927,Bali,F&B,215500,2023-12-17 09:30:44,online,18-24
TXN043825,Bali,Healthcare,1575000,2024-03-07 15:21:55,online,35-44
TXN017241,Yogyakarta,Grocery,385500,2023-08-10 15:46:36,online,25-34
TXN004893,Jakarta,Healthcare,1421000,2023-11-22 19:10:28,online,18-24
TXN000726,Jakarta,F&B,673500,2024-03-25 06:41:44,online,25-34
TXN022950,Surabaya,F&B,146500,2024-06-09 15:59:44,online,18-24
TXN034658,Medan,Grocery,169500,2024-04-07 09:40:53,offline,45+
TXN037214,Medan,Grocery,435500,2024-08-06 18:54:58,offline,35-44
TXN020305,Yogyakarta,Fashion,1925000,2024-04-11 20:33:22,offline,35-44
TXN015270,Yogyakarta,Education,1146000,2023-06-24 17:18:38,online,18-24
TXN022368,Surabaya,Travel,1214500,2024-06-29 21:40:03,offline,45+
TXN042685,Bali,Electronics,4637000,2023-12-13 16:41:52,offline,18-24
TXN046735,Bali,Home & Living,2678500,2024-07-15 12:46:14,offline,35-44
TXN011733,Jakarta,Healthcare,463000,2023-10-16 06:00:34,offline,45+
TXN018620,Yogyakarta,Home & Living,357000,2023-09-28 12:10:09,offline,25-34
TXN048493,Bali,Fashion,1340000,2023-02-23 22:16:56,online,25-34
TXN026804,Surabaya,Home & Living,2115000,2023-02-04 14:14:10,online,35-44
TXN044306,Bali,Home & Living,2250500,2023-08-09 11:41:03,offline,35-44
TXN047523,Bali,Fashion,2611500,2023-01-15 17:07:06,offline,35-44
TXN032208,Surabaya,F&B,278500,2024-12-16 18:54:29,online,25-34
TXN002531,Jakarta,Electronics,8389500,2024-09-02 13:39:54,online,35-44
TXN017747,Yogyakarta,Healthcare,365000,2023-12-20 16:43:39,offline,18-24
TXN008271,Jakarta,Travel,4784500,2023-04-26 10:01:55,online,25-34
TXN015080,Yogyakarta,Grocery,176000,2023-05-03 23:58:04,offline,25-34
TXN013625,Jakarta,Fashion,2838000,2024-03-30 07:24:57,online,18-24
TXN030639,Surabaya,Healthcare,478500,2024-12-16 20:40:37,offline,25-34
TXN030441,Surabaya,Healthcare,701000,2024-04-11 13:19:10,offline,45+
TXN036057,Medan,Healthcare,382000,2023-01-08 12:28:03,online,25-34
TXN042652,Bali,Travel,1549500,2024-05-04 20:06:16,online,18-24
TXN036804,Medan,Travel,4692500,2023-10-29 23:15:24,online,35-44
TXN048225,Bali,Grocery,588500,2024-03-25 21:33:57,offline,35-44
TXN029227,Surabaya,Fashion,1438000,2024-02-22 09:35:36,offline,35-44
TXN005634,Jakarta,Travel,5560500,2023-12-20 15:33:59,online,25-34
TXN005988,Jakarta,Fashion,1132500,2023-06-03 01:23:48,online,25-34
TXN048064,Bali,Grocery,601500,2023-12-03 12:43:29,offline,35-44
TXN001813,Jakarta,Grocery,414000,2023-11-07 19:55:17,online,25-34
TXN027579,Surabaya,F&B,93000,2024-05-05 16:19:17,online,18-24
TXN016824,Yogyakarta,Grocery,94500,2023-11-24 02:47:48,offline,18-24
TXN003929,Jakarta,Healthcare,1081500,2024-04-28 13:19:05,offline,35-44
TXN037287,Medan,Healthcare,657500,2023-08-07 05:33:34,offline,35-44
TXN025046,Surabaya,Electronics,4136500,2023-09-14 16:32:44,online,18-24
TXN015728,Yogyakarta,F&B,134000,2024-01-29 10:22:09,offline,25-34
TXN029601,Surabaya,F&B,462000,2023-12-13 11:02:35,offline,35-44
TXN010431,Jakarta,Fashion,2666000,2023-07-05 14:11:17,offline,25-34
TXN025769,Surabaya,Home & Living,950000,2024-04-26 00:16:20,offline,45+
TXN029104,Surabaya,F&B,90000,2023-02-24 17:49:36,online,25-34
TXN036538,Medan,Travel,3750000,2024-08-31 21:53:57,offline,18-24
TXN039329,Medan,Fashion,3000000,2023-04-26 17:48:55,offline,25-34
TXN035540,Medan,Home & Living,2634500,2024-03-28 23:04:34,online,25-34
TXN028076,Surabaya,Electronics,6829000,2024-11-10 14:40:52,offline,25-34
TXN017841,Yogyakarta,Healthcare,235000,2023-03-05 12:38:09,online,35-44
TXN027803,Surabaya,Grocery,665000,2024-06-12 16:53:23,online,35-44
TXN007683,Jakarta,F&B,222500,2023-06-30 16:06:54,online,18-24
TXN024280,Surabaya,Grocery,661500,2023-09-30 20:54:12,online,45+
TXN033071,Surabaya,Grocery,643000,2023-07-19 17:45:19,offline,25-34
TXN035558,Medan,Grocery,279000,2023-07-09 08:01:38,online,25-34
TXN037190,Medan,F&B,184500,2023-01-29 12:11:18,online,45+
TXN047150,Bali,Travel,2281500,2023-12-31 14:50:29,offline,25-34
TXN046916,Bali,Education,1148000,2023-02-13 11:05:20,online,18-24
TXN009802,Jakarta,Fashion,923500,2024-09-15 16:29:29,online,18-24
TXN038801,Medan,Grocery,596000,2024-11-04 20:54:03,online,35-44
TXN024670,Surabaya,F&B,202000,2024-05-26 19:12:02,online,45+
TXN044234,Bali,F&B,524500,2023-08-02 22:08:35,online,35-44
TXN031920,Surabaya,Electronics,5077000,2023-12-30 05:54:36,online,35-44
TXN007135,Jakarta,F&B,209000,2023-02-24 22:11:28,online,45+
TXN033705,Surabaya,Healthcare,1050000,2023-02-18 19:43:41,online,18-24
TXN029661,Surabaya,F&B,135000,2024-10-07 19:10:49,online,35-44
TXN017894,Yogyakarta,Fashion,775500,2024-09-08 13:54:41,offline,18-24
TXN022019,Surabaya,F&B,217000,2024-07-13 09:31:18,online,25-34
TXN013539,Jakarta,Fashion,2137000,2023-12-13 13:57:24,online,25-34
TXN043119,Bali,Fashion,945000,2023-12-10 20:40:40,offline,18-24
TXN036421,Medan,Travel,2427500,2024-08-23 22:51:56,offline,45+
TXN009406,Jakarta,F&B,297000,2024-08-25 17:38:34,offline,45+
TXN013414,Jakarta,Electronics,11661000,2024-09-05 12:52:09,online,25-34
TXN006721,Jakarta,F&B,378500,2024-07-10 14:40:54,offline,25-34
TXN015602,Yogyakarta,F&B,198000,2023-07-08 15:45:52,online,25-34
TXN044744,Bali,Electronics,4841000,2024-03-01 13:43:07,online,18-24
TXN031139,Surabaya,Home & Living,4502500,2023-11-07 17:07:54,online,35-44
TXN002730,Jakarta,Electronics,7105000,2024-03-22 20:27:25,offline,25-34
TXN038243,Medan,Healthcare,871000,2024-05-10 14:06:39,offline,25-34
TXN029626,Surabaya,Education,2022500,2023-08-25 09:43:17,offline,25-34
TXN047895,Bali,Education,1177000,2024-12-13 09:12:17,offline,18-24
TXN042091,Medan,F&B,188500,2023-10-28 11:05:45,offline,45+
TXN036400,Medan,Electronics,8062500,2024-05-11 12:16:42,offline,35-44
TXN006245,Jakarta,F&B,380500,2024-07-13 12:03:19,offline,18-24
TXN005546,Jakarta,Healthcare,2210500,2024-09-24 13:42:39,offline,25-34
TXN004065,Jakarta,Electronics,11288500,2023-08-29 15:43:21,online,25-34
TXN012852,Jakarta,Electronics,8327000,2023-01-04 16:05:50,online,18-24
TXN021803,Yogyakarta,Education,1270500,2024-09-18 18:00:00,online,35-44
TXN041164,Medan,F&B,127500,2024-12-28 22:17:52,offline,35-44
TXN006233,Jakarta,Healthcare,1631000,2024-02-12 07:02:16,offline,18-24
TXN003863,Jakarta,Fashion,3649500,2023-08-12 19:06:50,online,35-44
TXN035095,Medan,F&B,271500,2024-07-02 19:01:05,offline,35-44
TXN040196,Medan,Grocery,542000,2024-07-29 21:24:31,offline,35-44
TXN039251,Medan,Healthcare,887000,2023-11-30 19:23:29,online,25-34
TXN006218,Jakarta,Electronics,7860000,2024-03-02 19:46:55,online,45+
TXN036776,Medan,F&B,141000,2024-05-05 10:39:08,online,45+
TXN042977,Bali,Fashion,3175000,2023-01-29 10:13:08,online,35-44
TXN048468,Bali,F&B,500500,2024-11-18 05:01:09,offline,35-44
TXN014832,Jakarta,Home & Living,4031500,2023-11-05 16:30:48,online,35-44
TXN030093,Surabaya,Healthcare,1040500,2024-01-21 20:56:17,offline,45+
TXN008894,Jakarta,F&B,298000,2023-07-18 17:43:48,offline,25-34
TXN006021,Jakarta,F&B,394000,2023-10-18 19:00:18,online,18-24
TXN046089,Bali,Home & Living,1986000,2024-04-26 18:07:55,online,35-44
TXN015243,Yogyakarta,F&B,119500,2024-02-18 11:59:38,online,18-24
TXN045308,Bali,Electronics,8213500,2023-06-08 14:36:06,offline,25-34
TXN026551,Surabaya,Home & Living,4688500,2023-12-23 18:47:04,online,25-34
TXN006035,Jakarta,Home & Living,5220000,2023-12-14 11:00:20,offline,25-34
TXN007906,Jakarta,Travel,4263500,2023-10-04 20:09:46,online,25-34
TXN032226,Surabaya,Healthcare,1770500,2023-04-26 21:17:59,online,45+
TXN006018,Jakarta,Fashion,2569000,2023-06-13 22:31:10,online,25-34
TXN021880,Yogyakarta,Education,995000,2023-11-16 15:50:38,online,25-34
TXN002792,Jakarta,Education,520500,2024-07-22 16:38:19,online,35-44
TXN042606,Bali,F&B,163500,2024-03-10 22:23:31,offline,35-44
TXN005824,Jakarta,F&B,662000,2024-04-13 11:04:08,online,25-34
TXN015388,Yogyakarta,Education,267000,2024-08-12 17:53:53,offline,35-44
TXN029562,Surabaya,Electronics,11125000,2023-11-27 13:36:18,online,35-44
TXN039476,Medan,F&B,395000,2023-12-02 17:56:04,online,35-44
TXN000293,Jakarta,Electronics,10363000,2024-11-08 09:56:24,online,25-34
TXN016958,Yogyakarta,Electronics,2204500,2023-07-01 19:44:27,offline,18-24
TXN030861,Surabaya,Home & Living,1741500,2024-12-24 06:14:32,online,25-34
TXN014074,Jakarta,Grocery,380000,2024-07-21 16:50:45,offline,18-24
TXN021857,Yogyakarta,Healthcare,787500,2024-02-02 08:50:47,offline,18-24
TXN022080,Surabaya,Fashion,857000,2024-09-09 06:20:46,online,35-44
TXN017024,Yogyakarta,Grocery,107000,2023-03-29 22:11:21,online,35-44
TXN008740,Jakarta,Electronics,13203000,2023-07-25 13:59:53,online,35-44
TXN015826,Yogyakarta,Grocery,309000,2024-12-15 07:28:45,offline,35-44
TXN002742,Jakarta,F&B,193500,2024-08-05 16:33:48,online,25-34
TXN018049,Yogyakarta,F&B,53500,2024-09-27 14:55:21,offline,18-24
TXN049937,Bali,Fashion,2482500,2024-02-13 22:18:43,offline,45+
TXN017373,Yogyakarta,Fashion,1090000,2024-07-19 12:36:20,online,18-24
TXN022022,Surabaya,F&B,445500,2024-09-16 19:03:20,offline,35-44
TXN046365,Bali,Grocery,858000,2023-05-10 20:03:39,offline,35-44
TXN023538,Surabaya,Fashion,2080000,2024-04-05 11:37:16,offline,35-44
TXN045500,Bali,Home & Living,3401500,2023-07-09 02:00:20,online,25-34
TXN040186,Medan,Fashion,569500,2024-11-26 16:55:06,offline,45+
TXN009614,Jakarta,Grocery,1044000,2023-09-03 17:21:57,offline,25-34
TXN043282,Bali,Home & Living,3096000,2023-06-23 20:23:34,online,35-44
TXN037892,Medan,Grocery,677500,2023-02-19 20:28:58,online,25-34
TXN026179,Surabaya,Grocery,680000,2023-12-12 12:14:40,offline,25-34
TXN045893,Bali,Travel,4873500,2024-06-22 12:46:32,online,18-24
TXN020934,Yogyakarta,Home & Living,1626000,2023-08-21 23:26:48,offline,25-34
TXN040972,Medan,F&B,146500,2024-11-25 19:09:10,offline,25-34
TXN022225,Surabaya,Grocery,364500,2023-09-21 19:24:27,online,25-34
TXN024382,Surabaya,Home & Living,1908000,2024-12-22 11:07:24,offline,18-24
TXN034856,Medan,Electronics,1583500,2023-05-29 09:53:10,offline,25-34
TXN048578,Bali,Travel,3529500,2024-08-08 12:17:24,offline,45+
TXN038537,Medan,F&B,164500,2024-05-09 12:38:04,offline,35-44
TXN031756,Surabaya,F&B,352000,2023-08-19 23:29:20,offline,25-34
TXN007754,Jakarta,Fashion,3466500,2024-04-21 23:11:45,online,35-44
TXN046639,Bali,F&B,101500,2024-10-31 17:01:23,online,45+
TXN043835,Bali,Fashion,1090500,2023-02-25 17:21:21,offline,45+
TXN026236,Surabaya,Grocery,277000,2023-07-15 17:37:07,online,45+
TXN044230,Bali,Home & Living,2925000,2023-06-24 18:25:31,offline,18-24
TXN049597,Bali,Grocery,224000,2024-06-21 17:29:36,online,18-24
TXN018553,Yogyakarta,Electronics,1667000,2023-11-14 11:46:30,offline,18-24
TXN043137,Bali,Fashion,3836500,2023-09-07 15:58:47,online,35-44
TXN036673,Medan,F&B,173000,2024-08-17 09:07:22,offline,35-44
TXN043650,Bali,F&B,548500,2023-03-22 11:59:16,online,25-34
TXN003941,Jakarta,Grocery,398500,2024-05-09 16:46:03,online,35-44
TXN031497,Surabaya,Grocery,585000,2023-12-23 08:35:59,offline,45+
TXN026594,Surabaya,Electronics,3436000,2024-04-04 14:23:15,offline,45+
TXN023922,Surabaya,Electronics,3538000,2023-12-31 08:37:34,offline,25-34
TXN026403,Surabaya,Grocery,938500,2023-10-06 13:48:05,online,25-34
TXN045943,Bali,Electronics,5607000,2024-02-12 15:33:49,offline,25-34
TXN048526,Bali,Home & Living,1152500,2024-04-07 12:30:31,online,45+
TXN018316,Yogyakarta,F&B,133000,2024-05-06 18:25:05,online,18-24
TXN036894,Medan,Home & Living,1768500,2023-04-23 03:18:47,offline,35-44
TXN026696,Surabaya,Home & Living,1537000,2023-09-11 17:01:56,online,18-24
TXN042128,Medan,F&B,306500,2023-12-31 20:37:08,online,25-34
TXN014171,Jakarta,Education,1840000,2024-06-13 10:04:20,offline,25-34
TXN003733,Jakarta,Electronics,14422000,2023-09-30 21:55:09,online,25-34
TXN007882,Jakarta,Fashion,1205000,2023-08-14 12:12:50,online,18-24
TXN006017,Jakarta,F&B,238500,2024-11-23 17:07:02,online,25-34
TXN023030,Surabaya,Fashion,2162500,2024-09-15 07:08:17,offline,25-34
TXN035474,Medan,Fashion,994500,2024-07-12 05:40:11,online,35-44
TXN049686,Bali,Fashion,3666000,2023-01-23 20:13:33,online,35-44
TXN004818,Jakarta,Travel,4834000,2023-01-06 10:06:50,online,45+
TXN041694,Medan,Home & Living,728000,2024-06-05 07:49:15,offline,25-34
TXN012008,Jakarta,Healthcare,951500,2023-09-27 17:43:45,online,35-44
TXN041328,Medan,Home & Living,940500,2024-12-27 15:19:04,offline,45+
TXN009507,Jakarta,Education,2763000,2023-01-04 00:05:38,online,25-34
TXN044799,Bali,Healthcare,1328500,2024-08-31 18:24:09,online,25-34
TXN034063,Surabaya,Grocery,479000,2024-08-31 20:53:15,offline,18-24
TXN027475,Surabaya,Fashion,2224000,2023-08-28 11:19:46,online,25-34
TXN031144,Surabaya,F&B,278000,2023-10-07 16:57:07,online,45+
TXN021236,Yogyakarta,F&B,173000,2024-12-03 16:06:27,offline,25-34
TXN001391,Jakarta,Electronics,3077000,2023-10-22 09:32:57,online,18-24
TXN038250,Medan,Education,1267500,2023-02-10 10:45:48,offline,25-34
TXN037625,Medan,F&B,249000,2024-05-11 15:38:05,offline,35-44
TXN042029,Medan,Fashion,1210000,2024-04-02 21:16:48,online,25-34
TXN020835,Yogyakarta,Fashion,1216000,2024-08-13 13:47:00,offline,35-44
TXN014758,Jakarta,Electronics,5136500,2024-07-23 00:16:50,offline,25-34
TXN026397,Surabaya,F&B,192500,2024-07-21 17:15:59,offline,18-24
TXN006809,Jakarta,Education,2547000,2024-08-18 09:49:52,online,35-44
TXN009226,Jakarta,Fashion,1423500,2023-09-08 11:33:54,online,25-34
TXN048395,Bali,Fashion,2428000,2024-02-03 20:39:48,offline,25-34
TXN005396,Jakarta,Healthcare,673000,2023-09-23 15:15:01,online,45+
TXN006944,Jakarta,F&B,482000,2024-12-05 20:50:25,offline,25-34
TXN023871,Surabaya,Education,824000,2023-01-30 20:54:41,offline,45+
TXN032493,Surabaya,Grocery,767000,2024-08-03 18:36:33,online,45+
TXN036346,Medan,Healthcare,167000,2023-03-02 11:23:03,offline,18-24
TXN010756,Jakarta,Fashion,4954500,2023-08-12 17:25:08,online,25-34
TXN012302,Jakarta,Healthcare,1130500,2024-09-22 19:18:43,online,35-44
TXN048387,Bali,Healthcare,963000,2024-03-02 19:47:59,online,45+
TXN042746,Bali,Fashion,2472000,2024-12-14 11:14:10,online,45+
TXN029090,Surabaya,Healthcare,481000,2024-08-06 14:39:43,online,18-24
TXN044713,Bali,F&B,134000,2024-11-02 09:11:59,offline,35-44
TXN014344,Jakarta,Fashion,2372000,2023-07-02 00:40:17,online,25-34
TXN038173,Medan,F&B,262500,2024-11-17 07:34:03,offline,18-24
TXN005072,Jakarta,Education,1482000,2024-02-04 19:20:05,online,18-24
TXN024122,Surabaya,Home & Living,1925500,2023-12-03 21:58:36,online,35-44
TXN048810,Bali,F&B,239000,2024-08-30 06:09:52,offline,25-34
TXN017821,Yogyakarta,Home & Living,1672000,2023-06-13 23:22:00,online,35-44
TXN001123,Jakarta,Grocery,452500,2024-05-01 11:17:03,online,25-34
TXN011265,Jakarta,F&B,380000,2023-06-28 12:31:26,online,35-44
TXN030580,Surabaya,Grocery,402500,2023-08-09 10:03:41,online,45+
TXN045465,Bali,Electronics,5869000,2024-10-15 05:18:18,offline,35-44
TXN048217,Bali,Healthcare,1405000,2024-09-25 15:44:53,online,35-44
TXN043045,Bali,Grocery,432000,2023-09-22 08:34:26,online,35-44
TXN015657,Yogyakarta,Fashion,852000,2024-06-20 15:49:45,offline,45+
TXN001901,Jakarta,F&B,156000,2023-03-10 15:38:44,online,18-24
TXN000148,Jakarta,Home & Living,3903500,2023-07-08 08:04:56,offline,25-34
TXN029643,Surabaya,Healthcare,1349500,2023-11-08 19:40:17,offline,18-24
TXN003212,Jakarta,F&B,237500,2023-06-12 19:18:38,online,25-34
TXN043851,Bali,Healthcare,1890500,2023-07-23 06:17:17,online,45+
TXN002355,Jakarta,Fashion,474000,2024-03-07 14:23:39,online,18-24
TXN031521,Surabaya,Home & Living,4320000,2023-10-15 10:05:45,offline,25-34
TXN042584,Bali,F&B,216000,2023-05-27 15:44:29,offline,18-24
TXN043338,Bali,Fashion,2185000,2023-06-29 15:05:45,offline,25-34
TXN045285,Bali,Fashion,3575000,2024-08-17 18:59:03,offline,35-44
TXN046957,Bali,F&B,122000,2023-04-09 15:40:53,offline,18-24
TXN048791,Bali,Fashion,4033000,2023-07-10 11:57:44,online,35-44
TXN036586,Medan,Healthcare,1622000,2023-03-06 15:11:32,online,45+
TXN010466,Jakarta,Electronics,5853000,2024-01-25 08:47:38,offline,18-24
TXN007822,Jakarta,Fashion,4350000,2024-04-27 19:58:13,offline,25-34
TXN007206,Jakarta,Fashion,1086500,2023-10-26 17:05:11,offline,18-24
TXN006414,Jakarta,Grocery,493000,2024-04-27 09:08:09,offline,18-24
TXN034047,Surabaya,Fashion,3612500,2023-01-30 10:06:40,online,35-44
TXN012729,Jakarta,F&B,160000,2024-02-27 22:17:59,offline,25-34
TXN006926,Jakarta,F&B,152000,2023-06-02 10:45:54,offline,18-24
TXN027996,Surabaya,Education,1844500,2023-01-18 08:03:35,offline,25-34
TXN037613,Medan,Grocery,472000,2023-12-22 20:12:39,online,25-34
TXN039484,Medan,Home & Living,1855000,2024-03-28 12:06:38,offline,18-24
TXN003017,Jakarta,Education,818000,2024-02-29 15:18:31,online,45+
TXN001641,Jakarta,Fashion,2662000,2023-03-21 07:45:11,online,25-34
TXN008884,Jakarta,F&B,609000,2024-03-21 11:04:10,offline,25-34
TXN037602,Medan,Electronics,1592000,2023-04-09 22:32:05,offline,18-24
TXN012970,Jakarta,Grocery,355000,2024-12-10 09:35:26,offline,18-24
TXN023464,Surabaya,Electronics,9576000,2023-12-14 16:18:15,online,25-34
TXN015758,Yogyakarta,Grocery,268500,2023-08-17 16:57:12,online,45+
TXN044077,Bali,Grocery,675000,2024-07-07 21:29:25,online,45+
TXN004087,Jakarta,Home & Living,5626000,2024-06-14 04:59:12,online,25-34
TXN000509,Jakarta,Grocery,405500,2023-05-22 21:00:36,offline,35-44
TXN006355,Jakarta,F&B,505000,2024-07-18 17:21:48,online,25-34
TXN029645,Surabaya,Home & Living,1625000,2024-07-30 15:43:15,online,18-24
TXN020816,Yogyakarta,F&B,152500,2024-06-27 06:52:36,offline,45+
TXN006235,Jakarta,Fashion,3045500,2024-12-14 22:43:33,online,25-34
TXN031990,Surabaya,Home & Living,1377000,2024-06-15 09:34:58,offline,35-44
TXN012996,Jakarta,Electronics,4210500,2023-07-21 22:38:27,online,45+
TXN042502,Bali,F&B,423500,2024-05-05 13:26:44,offline,25-34
TXN038921,Medan,F&B,117000,2024-11-21 09:01:51,offline,18-24
TXN000263,Jakarta,Home & Living,935500,2023-04-04 20:15:17,offline,18-24
TXN007892,Jakarta,F&B,253000,2023-04-27 19:02:25,online,45+
TXN010528,Jakarta,Grocery,448500,2024-09-18 20:00:20,online,25-34
TXN018601,Yogyakarta,Fashion,813500,2024-03-08 22:50:32,online,25-34
TXN024115,Surabaya,Fashion,1758500,2024-04-03 07:52:07,offline,45+
TXN033499,Surabaya,F&B,138500,2023-11-28 14:25:24,offline,25-34
TXN013472,Jakarta,Electronics,7056500,2024-09-19 21:05:46,offline,45+
TXN031726,Surabaya,Fashion,1561000,2023-07-14 16:11:36,offline,45+
TXN023691,Surabaya,Home & Living,1218500,2024-06-08 19:58:58,online,35-44
TXN010558,Jakarta,Electronics,7861500,2023-08-20 20:35:16,offline,35-44
TXN006557,Jakarta,Travel,4698500,2023-08-22 14:07:41,offline,35-44
TXN045578,Bali,F&B,464500,2023-03-30 16:14:09,online,45+
TXN041504,Medan,Fashion,2688000,2024-10-01 07:08:45,offline,25-34
TXN027873,Surabaya,F&B,149000,2023-01-19 04:39:37,offline,25-34
TXN010811,Jakarta,Electronics,10516500,2024-04-01 12:42:55,online,25-34
TXN038215,Medan,Electronics,2834500,2023-01-18 00:26:52,offline,25-34
TXN011731,Jakarta,Home & Living,3235000,2023-05-27 07:51:14,online,25-34
TXN027439,Surabaya,Electronics,12160500,2024-07-02 21:49:29,online,25-34
TXN021780,Yogyakarta,Fashion,1030500,2024-05-10 09:18:49,online,25-34
TXN034080,Surabaya,Electronics,2593000,2024-05-29 06:43:49,online,35-44
TXN022916,Surabaya,Electronics,10560000,2024-06-30 21:56:50,offline,35-44
TXN008086,Jakarta,Electronics,3393500,2023-04-19 10:26:00,offline,18-24
TXN043468,Bali,Fashion,3900000,2023-10-13 17:18:58,offline,25-34
TXN014710,Jakarta,F&B,227500,2023-11-13 15:01:43,offline,35-44
TXN015467,Yogyakarta,Fashion,1507000,2023-07-11 20:21:18,online,45+
TXN037173,Medan,Electronics,4560500,2023-10-27 10:33:31,online,25-34
TXN028749,Surabaya,Travel,1013000,2023-11-05 16:17:02,offline,18-24
TXN003105,Jakarta,Electronics,4079500,2024-09-08 00:44:52,online,45+
TXN000709,Jakarta,Grocery,356000,2023-05-12 20:57:53,online,25-34
TXN038386,Medan,F&B,393000,2024-10-08 05:12:04,online,35-44
TXN023445,Surabaya,Electronics,12032000,2023-09-19 13:32:31,online,25-34
TXN026511,Surabaya,Education,558000,2024-06-02 23:20:19,online,45+
TXN008467,Jakarta,Electronics,4845500,2024-12-03 01:23:28,online,18-24
TXN006231,Jakarta,Education,3190000,2023-11-30 12:18:19,offline,35-44
TXN046359,Bali,F&B,383000,2023-01-07 05:23:29,offline,25-34
TXN039358,Medan,Travel,4750000,2023-11-25 19:59:54,offline,45+
TXN016387,Yogyakarta,Healthcare,476500,2023-12-10 23:27:37,online,45+
